"Location","Total","Occupied","Vacant"
"    Midland City town, Alabama","1,023","947","76"
"Midway town, Alabama","","",""
"    Midway town, Alabama","236","201","35"
"Mignon CDP, Alabama","","",""
"    Mignon CDP, Alabama","609","504","105"
"Millbrook city, Alabama","","",""
"    Millbrook city, Alabama","6,858","6,556","302"
"Millerville CDP, Alabama","","",""
"    Millerville CDP, Alabama","146","122","24"
"Millport town, Alabama","","",""
"    Millport town, Alabama","531","464","67"
"Millry town, Alabama","","",""
"    Millry town, Alabama","272","218","54"
"Minor CDP, Alabama","","",""
"    Minor CDP, Alabama","459","400","59"
"Mobile city, Alabama","","",""
"    Mobile city, Alabama","89,215","77,772","11,443"
"Monroeville city, Alabama","","",""
"    Monroeville city, Alabama","3,002","2,527","475"
"Montevallo city, Alabama","","",""
"    Montevallo city, Alabama","2,837","2,574","263"
"Montgomery city, Alabama","","",""
"    Montgomery city, Alabama","93,920","82,835","11,085"
"Moody city, Alabama","","",""
"    Moody city, Alabama","5,550","5,239","311"
"Moores Mill CDP, Alabama","","",""
"    Moores Mill CDP, Alabama","2,752","2,628","124"
"Mooresville town, Alabama","","",""
"    Mooresville town, Alabama","26","25","1"
"Morris town, Alabama","","",""
"    Morris town, Alabama","964","881","83"
"Morrison Crossroads CDP, Alabama","","",""
"    Morrison Crossroads CDP, Alabama","112","91","21"
"Mosses town, Alabama","","",""
"    Mosses town, Alabama","363","331","32"
"Moulton city, Alabama","","",""
"    Moulton city, Alabama","1,605","1,474","131"
"Moundville town, Alabama","","",""
"    Moundville town, Alabama","1,283","1,153","130"
"Mountain Brook city, Alabama","","",""
"    Mountain Brook city, Alabama","8,424","8,149","275"
"Mount Olive CDP (Coosa County), Alabama","","",""
"    Mount Olive CDP (Coosa County), Alabama","149","130","19"
"Mount Olive CDP (Jefferson County), Alabama","","",""
"    Mount Olive CDP (Jefferson County), Alabama","1,758","1,670","88"
"Mount Vernon town, Alabama","","",""
"    Mount Vernon town, Alabama","634","540","94"
"Movico CDP, Alabama","","",""
"    Movico CDP, Alabama","146","116","30"
"Mulga town, Alabama","","",""
"    Mulga town, Alabama","386","341","45"
"Munford town, Alabama","","",""
"    Munford town, Alabama","595","540","55"
"Muscle Shoals city, Alabama","","",""
"    Muscle Shoals city, Alabama","7,094","6,686","408"
"Myrtlewood town, Alabama","","",""
"    Myrtlewood town, Alabama","63","36","27"
"Nanafalia CDP, Alabama","","",""
"    Nanafalia CDP, Alabama","47","45","2"
"Nances Creek CDP, Alabama","","",""
"    Nances Creek CDP, Alabama","172","159","13"
"Napier Field town, Alabama","","",""
"    Napier Field town, Alabama","206","184","22"
"Natural Bridge town, Alabama","","",""
"    Natural Bridge town, Alabama","26","14","12"
"Nauvoo town, Alabama","","",""
"    Nauvoo town, Alabama","114","78","36"
"Nectar town, Alabama","","",""
"    Nectar town, Alabama","161","137","24"
"Needham town, Alabama","","",""
"    Needham town, Alabama","52","32","20"
"Newbern town, Alabama","","",""
"    Newbern town, Alabama","68","55","13"
"New Brockton town, Alabama","","",""
"    New Brockton town, Alabama","637","551","86"
"New Hope city, Alabama","","",""
"    New Hope city, Alabama","1,286","1,177","109"
"New Market CDP, Alabama","","",""
"    New Market CDP, Alabama","670","608","62"
"New Site town, Alabama","","",""
"    New Site town, Alabama","368","319","49"
"Newton town, Alabama","","",""
"    Newton town, Alabama","734","651","83"
"New Union CDP, Alabama","","",""
"    New Union CDP, Alabama","432","388","44"
"Newville town, Alabama","","",""
"    Newville town, Alabama","269","227","42"
"Nixburg CDP, Alabama","","",""
"    Nixburg CDP, Alabama","176","141","35"
"North Courtland town, Alabama","","",""
"    North Courtland town, Alabama","292","252","40"
"North Johns town, Alabama","","",""
"    North Johns town, Alabama","62","51","11"
"Northport city, Alabama","","",""
"    Northport city, Alabama","13,382","12,467","915"
"Notasulga town, Alabama","","",""
"    Notasulga town, Alabama","452","399","53"
"Oak Grove town, Alabama","","",""
"    Oak Grove town, Alabama","278","250","28"
"Oak Hill town, Alabama","","",""
"    Oak Hill town, Alabama","11","1","10"
"Oakman town, Alabama","","",""
"    Oakman town, Alabama","347","310","37"
"Odenville city, Alabama","","",""
"    Odenville city, Alabama","1,968","1,804","164"
"Ohatchee town, Alabama","","",""
"    Ohatchee town, Alabama","578","503","75"
"Oneonta city, Alabama","","",""
"    Oneonta city, Alabama","2,858","2,622","236"
"Onycha town, Alabama","","",""
"    Onycha town, Alabama","76","59","17"
"Opelika city, Alabama","","",""
"    Opelika city, Alabama","13,469","12,553","916"
"Opp city, Alabama","","",""
"    Opp city, Alabama","3,133","2,734","399"
"Orange Beach city, Alabama","","",""
"    Orange Beach city, Alabama","14,545","3,793","10,752"
"Orrville town, Alabama","","",""
"    Orrville town, Alabama","88","62","26"
"Our Town CDP, Alabama","","",""
"    Our Town CDP, Alabama","323","258","65"
"Owens Cross Roads town, Alabama","","",""
"    Owens Cross Roads town, Alabama","1,032","978","54"
"Oxford city, Alabama","","",""
"    Oxford city, Alabama","9,313","8,598","715"
"Ozark city, Alabama","","",""
"    Ozark city, Alabama","6,814","6,099","715"
"Paint Rock town, Alabama","","",""
"    Paint Rock town, Alabama","91","67","24"
"Panola CDP, Alabama","","",""
"    Panola CDP, Alabama","41","33","8"
"Parrish town, Alabama","","",""
"    Parrish town, Alabama","455","398","57"
"Pea Ridge CDP, Alabama","","",""
"    Pea Ridge CDP, Alabama","361","333","28"
"Pelham city, Alabama","","",""
"    Pelham city, Alabama","9,777","9,489","288"
"Pell City city, Alabama","","",""
"    Pell City city, Alabama","5,685","5,148","537"
"Pennington town, Alabama","","",""
"    Pennington town, Alabama","201","152","49"
"Penton CDP, Alabama","","",""
"    Penton CDP, Alabama","89","75","14"
"Perdido CDP, Alabama","","",""
"    Perdido CDP, Alabama","314","274","40"
"Perdido Beach town, Alabama","","",""
"    Perdido Beach town, Alabama","365","259","106"
"Peterman CDP, Alabama","","",""
"    Peterman CDP, Alabama","57","41","16"
"Petrey town, Alabama","","",""
"    Petrey town, Alabama","32","27","5"
"Phenix City city, Alabama","","",""
"    Phenix City city, Alabama","17,498","15,840","1,658"
"Phil Campbell town, Alabama","","",""
"    Phil Campbell town, Alabama","476","432","44"
"Pickensville town, Alabama","","",""
"    Pickensville town, Alabama","306","245","61"
"Piedmont city, Alabama","","",""
"    Piedmont city, Alabama","2,275","2,007","268"
"Pike Road town, Alabama","","",""
"    Pike Road town, Alabama","3,415","3,271","144"
"Pinckard town, Alabama","","",""
"    Pinckard town, Alabama","280","261","19"
"Pine Apple town, Alabama","","",""
"    Pine Apple town, Alabama","89","62","27"
"Pine Hill town, Alabama","","",""
"    Pine Hill town, Alabama","375","311","64"
"Pine Level CDP, Alabama","","",""
"    Pine Level CDP, Alabama","1,830","1,745","85"
"Pine Ridge town, Alabama","","",""
"    Pine Ridge town, Alabama","115","101","14"
"Pinson city, Alabama","","",""
"    Pinson city, Alabama","2,963","2,725","238"
"Pisgah town, Alabama","","",""
"    Pisgah town, Alabama","326","286","40"
"Pleasant Grove city, Alabama","","",""
"    Pleasant Grove city, Alabama","3,777","3,605","172"
"Pleasant Groves town, Alabama","","",""
"    Pleasant Groves town, Alabama","191","181","10"
"Point Clear CDP, Alabama","","",""
"    Point Clear CDP, Alabama","1,162","875","287"
"Pollard town, Alabama","","",""
"    Pollard town, Alabama","61","51","10"
"Powell town, Alabama","","",""
"    Powell town, Alabama","345","333","12"
"Prattville city, Alabama","","",""
"    Prattville city, Alabama","15,537","14,624","913"
"Priceville town, Alabama","","",""
"    Priceville town, Alabama","1,377","1,329","48"
"Prichard city, Alabama","","",""
"    Prichard city, Alabama","8,934","7,458","1,476"
"Providence town, Alabama","","",""
"    Providence town, Alabama","97","83","14"
"Putnam CDP, Alabama","","",""
"    Putnam CDP, Alabama","115","80","35"
"Ragland town, Alabama","","",""
"    Ragland town, Alabama","762","670","92"
"Rainbow City city, Alabama","","",""
"    Rainbow City city, Alabama","4,700","4,300","400"
"Rainsville city, Alabama","","",""
"    Rainsville city, Alabama","2,427","2,267","160"
"Ranburne town, Alabama","","",""
"    Ranburne town, Alabama","208","191","17"
"Ray CDP, Alabama","","",""
"    Ray CDP, Alabama","171","153","18"
"Red Bay city, Alabama","","",""
"    Red Bay city, Alabama","1,531","1,353","178"
"Redland CDP, Alabama","","",""
"    Redland CDP, Alabama","1,946","1,869","77"
"Red Level town, Alabama","","",""
"    Red Level town, Alabama","199","170","29"
"Redstone Arsenal CDP, Alabama","","",""
"    Redstone Arsenal CDP, Alabama","373","351","22"
"Reece City town, Alabama","","",""
"    Reece City town, Alabama","284","270","14"
"Reeltown CDP, Alabama","","",""
"    Reeltown CDP, Alabama","322","286","36"
"Reform town, Alabama","","",""
"    Reform town, Alabama","751","650","101"
"Rehobeth town, Alabama","","",""
"    Rehobeth town, Alabama","667","637","30"
"Remlap CDP, Alabama","","",""
"    Remlap CDP, Alabama","1,022","948","74"
"Repton town, Alabama","","",""
"    Repton town, Alabama","138","116","22"
"Ridgeville town, Alabama","","",""
"    Ridgeville town, Alabama","54","41","13"
"River Falls town, Alabama","","",""
"    River Falls town, Alabama","257","202","55"
"Riverside city, Alabama","","",""
"    Riverside city, Alabama","1,024","905","119"
"Riverview town, Alabama","","",""
"    Riverview town, Alabama","76","65","11"
"Roanoke city, Alabama","","",""
"    Roanoke city, Alabama","2,723","2,145","578"
"Robertsdale city, Alabama","","",""
"    Robertsdale city, Alabama","2,703","2,532","171"
"Rock Creek CDP, Alabama","","",""
"    Rock Creek CDP, Alabama","609","581","28"
"Rockford town, Alabama","","",""
"    Rockford town, Alabama","205","158","47"
"Rock Mills CDP, Alabama","","",""
"    Rock Mills CDP, Alabama","288","246","42"
"Rockville CDP, Alabama","","",""
"    Rockville CDP, Alabama","21","21","0"
"Rogersville town, Alabama","","",""
"    Rogersville town, Alabama","635","542","93"
"Rosa town, Alabama","","",""
"    Rosa town, Alabama","153","149","4"
"Russellville city, Alabama","","",""
"    Russellville city, Alabama","4,190","3,813","377"
"Rutledge town, Alabama","","",""
"    Rutledge town, Alabama","185","162","23"
"St. Florian town, Alabama","","",""
"    St. Florian town, Alabama","272","252","20"
"St. Stephens CDP, Alabama","","",""
"    St. Stephens CDP, Alabama","229","180","49"
"Saks CDP, Alabama","","",""
"    Saks CDP, Alabama","4,564","4,039","525"
"Samson city, Alabama","","",""
"    Samson city, Alabama","880","734","146"
"Sand Rock town, Alabama","","",""
"    Sand Rock town, Alabama","272","237","35"
"Sanford town, Alabama","","",""
"    Sanford town, Alabama","115","102","13"
"Saraland city, Alabama","","",""
"    Saraland city, Alabama","6,698","6,235","463"
"Sardis City town, Alabama","","",""
"    Sardis City town, Alabama","754","726","28"
"Satsuma city, Alabama","","",""
"    Satsuma city, Alabama","2,683","2,545","138"
"Scottsboro city, Alabama","","",""
"    Scottsboro city, Alabama","7,401","6,623","778"
"Section town, Alabama","","",""
"    Section town, Alabama","355","327","28"
"Selma city, Alabama","","",""
"    Selma city, Alabama","8,946","7,568","1,378"
"Selmont-West Selmont CDP, Alabama","","",""
"    Selmont-West Selmont CDP, Alabama","1,031","880","151"
"Semmes city, Alabama","","",""
"    Semmes city, Alabama","2,155","1,983","172"
"Sheffield city, Alabama","","",""
"    Sheffield city, Alabama","4,977","4,255","722"
"Shelby CDP, Alabama","","",""
"    Shelby CDP, Alabama","423","374","49"
"Shiloh town, Alabama","","",""
"    Shiloh town, Alabama","133","118","15"
"Shoal Creek CDP, Alabama","","",""
"    Shoal Creek CDP, Alabama","700","642","58"
"Shorter town, Alabama","","",""
"    Shorter town, Alabama","182","165","17"
"Silas town, Alabama","","",""
"    Silas town, Alabama","215","169","46"
"Silverhill town, Alabama","","",""
"    Silverhill town, Alabama","336","321","15"
"Sims Chapel CDP, Alabama","","",""
"    Sims Chapel CDP, Alabama","58","51","7"
"Sipsey town, Alabama","","",""
"    Sipsey town, Alabama","175","135","40"
"Skyline town, Alabama","","",""
"    Skyline town, Alabama","370","328","42"
"Slocomb city, Alabama","","",""
"    Slocomb city, Alabama","988","852","136"
"Smiths Station city, Alabama","","",""
"    Smiths Station city, Alabama","2,254","2,107","147"
"Smoke Rise CDP, Alabama","","",""
"    Smoke Rise CDP, Alabama","644","622","22"
"Snead town, Alabama","","",""
"    Snead town, Alabama","487","453","34"
"Somerville town, Alabama","","",""
"    Somerville town, Alabama","360","329","31"
"Southside city, Alabama","","",""
"    Southside city, Alabama","3,891","3,686","205"
"South Vinemont town, Alabama","","",""
"    South Vinemont town, Alabama","248","222","26"
"Spanish Fort city, Alabama","","",""
"    Spanish Fort city, Alabama","4,263","3,876","387"
"Spring Garden CDP, Alabama","","",""
"    Spring Garden CDP, Alabama","106","87","19"
"Springville city, Alabama","","",""
"    Springville city, Alabama","1,882","1,809","73"
"Spruce Pine CDP, Alabama","","",""
"    Spruce Pine CDP, Alabama","85","69","16"
"Standing Rock CDP, Alabama","","",""
"    Standing Rock CDP, Alabama","79","65","14"
"Stapleton CDP, Alabama","","",""
"    Stapleton CDP, Alabama","885","829","56"
"Steele town, Alabama","","",""
"    Steele town, Alabama","455","402","53"
"Sterrett CDP, Alabama","","",""
"    Sterrett CDP, Alabama","368","298","70"
"Stevenson city, Alabama","","",""
"    Stevenson city, Alabama","957","837","120"
"Stewartville CDP, Alabama","","",""
"    Stewartville CDP, Alabama","832","719","113"
"Stockton CDP, Alabama","","",""
"    Stockton CDP, Alabama","355","233","122"
"Sulligent city, Alabama","","",""
"    Sulligent city, Alabama","983","875","108"
"Sumiton city, Alabama","","",""
"    Sumiton city, Alabama","1,100","1,015","85"
"Summerdale town, Alabama","","",""
"    Summerdale town, Alabama","634","583","51"
"Susan Moore town, Alabama","","",""
"    Susan Moore town, Alabama","324","306","18"
"Sweet Water town, Alabama","","",""
